0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
academic,challenge,management,contrast,adaptive,accumulation,delftthreed,ecosystem,calibration,development,large,bedload,dune,channel,calibration,bank,characterize,development,channel,effect,contribution,arid,braid,bank,experiment,application,accumulation,alternate,bulk,alpine,augmentation,china,alpine,alter,driftwood,channel,alternate,anisotropy,bedload,blockage,effect,change,canopy,experimental,ecological,channel,channel,channel,bank,habitat,bypass,actual,beel,channel,experimental,acoustic,apparent,aerial,dune,emergent,channel,channel,bank,bridge,bedload,condition,hydraulics,basin,bridge,different,design,fish,hydraulic,alpine,bank,model,deep,condition,condition,development,delivery,bridge,scouring,earth,block,fish,breach,bridge,check,approach,experimental,experimental,concentration,fish,downstream,downstream,change,alluvial,accumulate,clear_water,bypass,cohesive,behavior,estimate,scale,field,balance,alpine,bedform,confluence,acoustic,basin,acoustic,acoustic,bedload,bedload,bedload,alpine,constrain,active,acoustic,concentration,catchment,annual,effect,application,load,adcp,regulate,coal,application,hill,beginning,meander,element,budget,array,assessment,design,debris,cavity,channel,dike,bedload,application,adcp,enhance,drive,confluence,bifurcation,bedload,artificial,experimental,compound,better,anomaly,bubbly,gravity,eddy,airborne,assessment,application,cavity,horizontal,drop,arrangement,confluence,bedload,channel,hydrodynamic,bedload,double,confluence,channel,aspect,bedload,channel,condition,evolve,approach,application,dispersion,bedload,experimental,flume,group,break,erosion,canopy,model,large,meander,environment,dynamic,computer,advanced,evaluation,channel,bank,obtain,channel,kinetic,counterpart,model,develop,break,flood,estimate,application,absence,break,flood,basin,model,case,aerial,accuracy,assessment,evaluate,large,evacuation,building,case,balance,array,large,emergency,anisotropic,assessment,bedrock,break,case,base,curve,base,hydrodynamic,alluvial,experimental,bayesian,channel,anisotropic,communication,calibrate,advanced,field,analytical,assessment,analytical,assess,discharge,condition
daily,computer,science,european,approach,backwater,hydrodynamic,fluvial,hydraulic,morphological,pulse,determination,quantification,curve,debris,bedload,define,limit,cover,sediment,flume,dynamic,dynamic,case,field,gradation,debris,dynamic,emergent,assessment,downstream,development,development,geomorphic,experiment,degradation,experiment,array,bore,cause,groyne,lateral,distribution,float,functionality,characterization,large,coherent,catchment,natural,downstream,condition,case,lateral,flexible,doppler,bedload,effect,experimental,near,coefficient,natural,failure,circular,check,downstream,model,cultivation,depth,local,fluvial,model,potential,balance,erosion,numerical,dimensional,experimental,embayment,experimental,factor,implementation,sill,experimental,cantilever,spill,dike,pier,design,characterization,field,reservoir,control,freshwater,excavate,experimental,channel,dredge,aerial,condition,field,embankment,downstream,large,sediment,model,particle,factor,grain,control,bedload,dynamic,bedload,bedload,event,dune,couple,channel,experimental,active_layer,backscatter,measurement,erosion,cycle,large,bedload,major,curve,reservoir,model,capacity,model,future,straight,experimental,energy,cylindrical,equation,height,large,frequency,couple,large_eddy,coarse,model,development,hydraulic,exchange,numerical,effect,dune,cube,protection,open_channel,distribution,equation,numerical,mesh,hypothesis,applied,downstream,equation,experimental,natural,experimental,bedload,process,code,open,large_scale,entrainment,flood,dominant,evolution,channel,mountain,dynamic,impact,flume,concept,approach,measure,bedrock,particle,front,numerical,distribution,fine,deep,morphodynamic,motion,morphology,estuarine,field,control,bridge,hydraulic,compound,bend,profile,open,load,experimental,scale,dune,image,management,evolution,engineering,bathymetry,channel,large,capacity,overflow,dense,development,improve,curve,extreme,natural,experiment,dissipation,district,bifurcation,channel,measurement,flood,improvement,historical,canyon,combine,climate,couple,estimation,channel,lidar,century,model,estimation,compound,element,comparative,case,concentration,flood,channel,discharge,channel,dynamic,lowland,control
interaction,dynamic,sustainable,large,desire,hazard,meander,human,simulation,sediment,time,fraction,transport,narrow,float,channel,home,model,deposition,transport,formation,floodplain,experiment,evolution,laboratory,hydrology,effect,flood,interior,bedload,effect,effect,ecological,habitat,laboratory,improvement,flume,characterization,channel,large,morphodynamic,roughness,drag,motion,morphodynamic,dynamic,morphology,compound,debris,sound,fine,depth,east,shallow,flume,evaluation,dune,high_precision,morphodynamic,patch,compound,patch,model,collar,deposition,equilibrium,morphodynamic,downstream,field,pier,load,multiple,9,base,groyne,telemac,hole,feed,lateral,flume,gorges,methodology,submerge,improve,effect,swimming,lateral,scour,evaluate,dynamic,model,sediment,flush,hydropower,japan,gate,control,impact,debris,effect,measurement,erosion,fish,reservoir,transport,mouth,roll,geomorphological,isolate,groyne,conductivity,effect,calibration,distribution,flood,gradient,element,estimation,heterogeneous,alps,large,sample,model,rating,model,bypass,quantitative,establishment,rhine,transport,coefficient,physical,transport,9,expose,flux,infer,implicit,meter,model,interface,cross_section,rectangular,dynamic,process,mean,jump,roughness,passive,local,equation,drag,riverbank,presence,extend,numerical,predict,requirement,isolate,creek,experimental,finite,lateral,pollutant,formation,impact,9,suspension,rough,model,impulse,grid,inflow,impact,effect,stochastic,pulse,initial,level,design,base,predict,erosion,transport,laboratory,property,mean,rough,shallow,9,open_channel,numerical,fluvial,mass,hydraulic,characterization,oscillate,distribution,channel,profiler,rough,model,porous,training,layer,inundate,mouth,hydrometric,investigate,flood,interaction,numerical,control,sewer,flood,distribution,surface,discharge,flood,profile,hydraulic,drag,integral,case,compound,9,management,merge,impact,dynamic,roughness,detention,flood,rating,equation,model,function,shallow,hydrograph,conveyance,finite,environment,channel,flood,model,compound,estimate,compound,effect,monitoring,critical
knowledge,engineering,9,mobility,equilibrium,large,mike,impact,9,supply,transport,geophone,9,pathway,model,erosion,video,physical,fine,vegetation,investigate,inundation,flume,meuse,reach,morphodynamic,event,regime,patch,mobility,geomorphic,meander,economical,identification,motion,mitigate,vegetate,cylinder,characterization,reservoirs,reach,shallow,reynolds,study,quantification,meander,move,horizontal,effect,underwater,flush,different,management,structure,laboratory,measurement,estimation,motion,9,shallow,dispersion,pattern,numerical,local,direct,morphology,numerical,greenhouse,monitoring,scour,optimization,pass,9,cascade,opposite,threed,scour,intake,sediment,test,ratio,monitoring,9,levee,failure,turbulent,numerical,similitude,model,fine,propeller,9,high,specie,management,morphology,engineer,sand,distribution,local,9,experiment,guidance,sedimentation,9,regional,single,hysteresis,property,morphology,high_resolution,event,curve,grain_size,high_resolution,measure,grain,sand,mixture,braid,sediment,solid,runoff,sediment,morphodynamic,grain,question,mean,sediment,9,discharge,preliminary,9,9,force,gravel,obstacle,model,spillway,physical,lateral,equation,simulation,event,scour,measurement,model,streams,scalar,longitudinal,erodible,field,study,structure,flocculation,resolution,9,resolution,large,measurement,9,model,oscillation,recirculation,shaft,loose,9,9,structure,novel,lagrangian,model,mode,sediment,fluctuation,streams,sediment,pollution,measure,model,debris,9,hydraulic,9,propagation,sediment,mobile,sediment,structure,9,scale,simulation,property,natural,model,hole,9,diverge,experiment,turbulence,shear,theory,resistance,9,shallow,measurement,narrow,level,model,hazard,settlement,real,experimental,urban,model,measure,texture,estimate,hydrodynamic,review,inundate,formulation,model,measure,cylinder,9,mapping,model,series,monitoring,simulation,flood,forecasting,state,interpolation,resolution,hydraulic,source,inverse,floodplain,flood,flood,dependency,model,urban,9,improvement,estimation,event,9,discharge
management,field,9,mountain,groyne,local,model,society,9,variable,tree_ring,grain_size,9,process,numerical,formation,9,riparian,flexible,9,levee,predict,hydraulics,morphological,replenishment,sediment,flood,riparian,rigid,sediment,gravel,northwest,flood,large,numerical,normal,9,infinite,discharge,spillway,restore,9,stress,transient,9,planform,pattern,large,erosion,9,reach,patch,sediment,variation,mature,transport,geometry,movable,9,vegetation,flood,vegetation,reservoir,pier,field,rock,reservoir,impact,pier,skew_angle,permeable,performance,9,record,transverse,turbidity,structure,sediment,suspend,threed,reservoir,pier,9,performance,meander,wake,overtop,9,numerical,model,relate,9,measurement,threaten,numerical,sluice,numerical,tidal,estimate,scour,9,laboratory,hydropower,9,9,sediment,stress,load,roughness,performance,measurement,sediment,discharge,measure,investigate,spatial,model,secondary,pattern,chain,suspend,standardized,scale,suspend,morphology,impact,sediment,measurement,strongly,9,drag,9,9,9,impact,kinetic,property,performance,9,scale,predict,numerical,study,indirect,9,monitoring,negative,surface,simulation,morphology,formation,force,9,transverse,flux,shallow,9,9,pool_riffle,tracking,9,porosity,past,simulation,study,rate,9,9,turbulence,twod,model,numerical,tributary,variability,high,transport,transport,prediction,roll,multiple,dimensional,9,steep,9,sediment,study,pressure,9,turbulent,9,9,twod,sediment,numerical,numerically,model,9,improve,near,velocity,stress,transport,surface,9,structure,medium,9,long_term,problem,lidar,slope,scale,flood,9,modeling,space,velocimetry,rating,impact,sample,model,integral,porosity,netherlands,determination,9,model,porosity,streamflow,steep,terrain,mitigation,high_resolution,uncertainty,open,9,levee,term,italy,riparian,model,hazard,discharge,mountain,9,9,uncertainty,meander,extreme,9,estimation
research,restore,9,recruitment,large,rise,simulation,transformation,9,widening,wood,improve,9,9,transport,migration,9,study,partly,9,study,vegetation,insight,restore,residual,supply,large,vegetation,scale,steep,rhine,riparian,implementation,physical,obstacle,reduction,9,model,ephemeral,wood,stone,9,submerge,wood,9,9,wood,structure,geotechnical,9,release,structure,study,9,meander,9,predictor,riverbed,9,wake,longitudinal,9,9,reduction,massive,scour,9,reservoir,prediction,tandem,sediment,scale,9,reservoirs,9,9,9,study,transport,9,sediment,scour,9,resistance,migration,9,simulation,9,optimum,operational,scour,9,sediment,9,reservoir,study,response,9,large,structure,9,wave,intake,9,9,supply,viscous,pattern,9,sediment,performance,semi_arid,estimate,measurement,large,transport,size,suspension,sediment,experimental,9,suspend,sediment,upland,scale,monitoring,9,rating,temporal,9,effect,9,9,9,measurement,turbulent,structure,shallow,9,woody,shed,shallow,turbulent,monitoring,9,sediment,step,turbulence,9,training,shallow_water,hemisphere,9,9,integrate,variation,9,9,simulation,velocimetry,9,rigid,shallow,streams,9,surface,9,9,9,9,movement,9,9,width,hydraulically,9,9,spread,wave,physical,sediment,9,structure,9,9,threed,shear,9,9,9,9,9,9,process,physical,pier,9,independent,open,9,unsteady,9,9,9,twod,shoot,9,9,threed,mapping,study,simulation,large,9,network,surface,9,series,measure,stream,safety,model,scale,restoration,drag,9,risk,9,9,9,wave,response,hydraulic,9,profile,9,9,transient,mean,structure,porosity,representation,location,numerical,9,9,9,9,propagation,9,experimental
translate,9,9,steep,layout,scour,9,9,9,9,9,plate,9,9,wooden,numerical,9,vegetation,sediment,9,9,wetland,9,study,sediment,9,morphology,9,sparse,stream,9,root,measure,9,study,sandy,9,place,unsteady,9,wooden,9,vegetation,9,9,9,9,vegetate,hydraulic,9,sediment,willow,tidal,9,preliminary,9,variable,simulation,9,9,open,9,9,scouring,open,sill,9,sedimentation,scour,9,transport,specie,9,sediment,9,9,9,submerge,unsteady,9,9,9,9,study,model,9,9,9,slit,reservoirs,study,9,suspend,9,sediment,9,simplify,9,photograph,vertical,9,9,passage,9,9,9,9,rate,9,tributary,profiler,siltation,generalize,passive,measurement,9,slope,9,sort,rfid,9,9,transfer,9,slope,plate,9,sediment,upper,9,flooding,9,9,9,9,9,thermal,surface,9,9,vortex,simulation,9,passive,9,suspend,9,velocity,9,9,simple,measurement,9,9,model,water,9,9,turbulent,9,9,scheme,study,transport,9,9,9,9,9,9,9,9,9,9,moment,9,9,thermal,9,spillway,simulation,9,transport,9,9,9,stress,9,9,9,9,9,9,simulation,production,scour,9,subsection,sharp,9,velocity,9,9,9,9,video,9,9,9,9,urban,twod,management,9,oned,time,9,time,model,surface,study,numerical,shallow,study,shear,9,9,9,9,9,9,riparian,hydrological,9,shallow,9,9,validation,methodology,turbulent,resistance,threed,roughness,propagation,9,9,9,9,pulse,9,measurement
vegetation,9,9,streams,numerical,wood,9,9,9,9,9,recording,9,9,9,sand,9,9,transport,9,9,9,9,9,9,9,woody,9,vegetation,tracking,9,vegetation,protection,9,9,sediment,9,randomly,9,9,9,9,9,9,9,9,9,9,large,9,target,9,9,9,root,9,velocity,structure,9,9,plain,9,9,square,9,unsteady,9,semi_arid,9,9,trap,9,9,9,9,9,9,vane,9,9,9,9,9,substance,numerical,9,9,9,twod,sediment,velocity,9,type,9,study,9,simulation,9,reservoir,viscosity,9,9,screen,9,9,9,9,suspend,9,9,9,suspend,measurement,9,tracer,9,sort,9,9,scour,9,9,9,9,transverse,sediment,9,suspend,variability,9,impact,9,9,9,9,9,turbulent,twod,9,9,9,transport,9,scale,9,transport,9,water,9,9,transport,mount,9,9,particle,9,9,9,unit,9,9,shallow,surface,zone,9,9,9,9,9,9,9,9,9,9,open,9,9,9,9,9,transport,9,9,9,9,9,9,9,9,9,9,9,9,storage,9,9,9,9,turbulence,9,9,9,9,9,9,9,9,9,9,9,9,9,numerical,9,porosity,vector,9,uncertainty,national,velocity,9,porosity,study,9,square,9,9,9,9,9,9,study,meteorological,9,surface,9,9,water,parallel,vegetation,scheme,urban,study,9,9,9,9,9,sediment,9,source
water,9,9,wood,optimisation,9,9,9,9,9,9,stream,9,9,9,simulation,9,9,vegetation,9,9,9,9,9,9,9,9,9,9,transport,9,9,9,9,9,time,9,9,9,9,9,9,9,9,9,9,9,9,mountain,9,water,9,9,9,vegetation,9,9,validation,9,9,rigid,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,surface,slump,9,9,9,unsteady,9,9,9,9,9,9,9,upstream,9,volume,9,9,9,9,9,9,9,9,9,9,9,9,typology,passive,9,transport,9,steep,9,9,survey,9,9,9,9,9,size,9,transport,9,9,mitigate,9,9,9,9,9,wake,water,9,9,9,variable,9,time_dependent,9,9,9,9,9,9,9,roughness,9,9,process,9,9,9,9,9,9,vegetation,9,9,9,9,9,9,9,9,9,9,9,9,order,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,surface,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,retention,9,street,velocimetry,9,9,programme,9,9,shallow,water,9,subject,9,9,9,9,9,9,variability,model,9,twod,9,9,9,section,9,stagger,virtual,9,9,9,9,9,9,storm,9,uncertainty
9,9,9,9,project,9,9,9,9,9,9,transport,9,9,9,tracer,9,9,9,9,9,9,9,9,9,9,9,9,9,velocity,9,9,9,9,9,transport,9,9,9,9,9,9,9,9,9,9,9,9,potential,9,9,9,9,9,9,9,9,vehicle,9,9,vegetation,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,width,9,woody,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,urban,9,transport,9,9,9,9,9,9,9,9,transform,9,9,9,9,open_channel,9,9,9,9,9,9,9,9,9,9,water,9,transport,9,9,9,9,9,9,9,surface,9,9,sediment,9,9,9,9,9,9,volume,9,9,9,9,9,9,9,9,9,9,9,9,ratio,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,transport,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,situate,9,twod,velocity,9,9,protection,9,9,study,9,9,9,9,9,9,9,9,9,9,9,9,unsteady,9,9,9,upstream,9,urban,9,9,9,9,9,9,9,9,9,9
9,9,9,9,restoration,9,9,9,9,9,9,9,9,9,9,transport,9,9,9,9,9,9,9,9,9,9,9,9,9,virtual,9,9,9,9,9,width,9,9,9,9,9,9,9,9,9,9,9,9,quantification,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,vertical,9,9,9,9,9,9,9,9,tunnel,9,9,9,9,potential,9,9,9,9,9,9,9,9,9,9,9,9,variability,9,9,9,9,9,9,9,velocity,9,9,simulate,9,9,9,9,9,9,water,9,9,9,9,9,9,9,9,9,9,9,9,rough,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,turbulent,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,urban,volume,9,9,9,9,9,water,9,9,9,9,9,9,9,9,9,9,9,9,water,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,recruitment,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,wavelet,9,9,9,9,reduce,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,size,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,velocity,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,zone,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,shallow,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,reduction,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,vegetation,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,woody,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
